	Nice Hotel...Great Location	Stayed here for my 40th B-Day. Got Studio King Suite for great rate. Very nice and big room, hardwood floors and balcony. Comfortable bed and great shower pressure. 2 elevators in hotel, one was big and the other was barely enough for 2 people with luggage. Bellman and Front desk staff were great and helpfull. Food, Starbucks, train, Whole Foods, Central Park all within steps of hotel. Overall this is great hotel and plan on staying here again in the future.
Sep 5 2006	A Rare Luxury in NYC	I just returned from my second stay at 60 Thom, and it was just as enjoyable the second time. When I arrived, I was extremely surprised and impressed to find that Michael, the doorman, remembered me from my last visit, some 8 months prior. With a big smile and warm welcome, he and his colleague Jordan, took care of my car and bags and made me feel right at home. I have been to many other boutique hotels in NY, and more often than not, they seem to think that a snooty, aloof staff is somehow a mark of their exclusivity. Not at 60 Thom, where the staff are genuinely friendly and warm and helpful and welcoming, a rare luxury in NYC. The room was very nice, understated in it's modern design... not trying too hard. Little touches like heavy crystal drinking glasses, a beautiful large flat-screen tv, beautiful leather wall tiles, and ultra-comfortable beds make the room warm and inviting. An iron in the room would have been nice, however. The roofdeck is also a great amenity; hip scene with lots of sexy international types. All in all, I would definitely return to 60 Thom ... in fact, I promised Michael that I would. Now, I just have to hope that I can find a good rate on Quikbook when I return, because the regular rates are a bit pricey.
Sep 5 2006 	Will never go back	My husband and I stayed for two nights in this hotel and we were very dissapointed. We had booked the room a month in advance and requested a non smoking room, and what did we get, a smoking room.....just great. The room was stinking, my husband called the reception to change the room and of course they were full.....the standard answer. He then asked to speak to the manager on duty who implied that we had made the mistake and did not request non smoking and that she could not help us in any way. The room was $450 a night, this must pay for the trendy uniforms the staff were wearing....surely not for the managers salary. After a heated converstion miracously they found another room....what's the chances eh. Why could they not have just done that in the first place. We had dinner there as it was now 10.30pm and after dinner we went to the bar. We were met at the bar door by another ex model who asked if we had requested a seat in the bar? We had no idea such a thing was needed, we informed her that we were residents but hey, ho......not good enough. There was a large table empty and when we pointed this out we were informed that it was kept vacant incase a &quot;VIP&quot; should arrive, not for the likes of us.I love good looking hotels and good looking people but this hotel was just too shallow for me. Will never return to 60 Thompson.
Aug 25 2006 	Great but not fantastic!	Just returned from a three night stay in a King Suite at 60 Thompson (booked on Quikbook). We were at first slightly surprised to be checking in at the front desk which seemed to be in the middle of the bar area and very loud. But we had a room on 6th floor which was quiet (relative to NY) despite being across from the elevator and facing the street. King Suite was not much of a suite as it only accommodated a small sitting area just adequate for a sofa and table in addition to the bedroom. However we loved the balcony which was the length of the living room and bedroom, we never used the A/C as we could open balcony door in both rooms. Bathroom was very disappointing for a hotel of this standard (no storage place, music or TV in the bathroom). Very little storage place in the room for clothes. Overall the room was finished to a low standard with IKEA quality furniture. The hotel personnel was very friendly at all times and the concierge was helpful at printing from the web once he was not familiar with the location himself. We visited the rooftop lounge twice, which had a nice view but terrible service. Location is fantastic! I would not mind staying at 60 Thompson again, however given the shortcomings listed above and that this is not the only boutique hotel in NY I will try to stay at a different hotel next time.
Jul 24 2006 	Not bad- but sparse for the price	I recently spent a weekend at 60 Thompson. When I lived in NY, I spent alot of time at the bar there, so I knew what to expect as far as a the vibe, and the location. The hotel definitely does not disappoint in that regard. The problem I had was with the room itself. I booked a king suite, and even with a significant discount from Quikbook, the room was still very expensive, in addition to being quite small. I typically stay uptown, and for only a little more, you can stay in a suite at the Peninsula, with far superior space, service and amenities. Overall, 60 Thompson was fun, but not worth the price. Plus, they really need to renovate the rooms.
Jul 18 2006	Wonderful...Perfect Location	This was me and my husband's first time visiting New York. We were unsure of where to stay. We just knew we wanted to be close to restaurants and shopping. EVERYONE walks in New York. So put your walking shoes on. When we arrived at 60 Thompson I was extremely impressed. This boutique hotel is super sheek and elegant. The service was magnificent. The location is PERFECT. Its close to everything. When you a walk out of the hotel there are boutiques everywhere and a ton of eating places. The hotel is only a couple of blocks away from Broadway where a lot of the major clothing and shoe stores are located. We could not have a picked a more perfect hotel. There is also a roof top bar that is ultra hip and has a beautiful view of the city. When we return to New York we will certainly stay here again. Also the rooms are pretty pricey but we got a good deal by booking it on Quickbook. It cut the price of the room in half.
Jul 16 2006	Glamorous boutique hotel great service top location	You can spend a lot of money on a hotel that cliams to be an unber cool boutique hotel in downtown manhattan and be very disappointed. Whilst 60 Thompson is not cheap, you do get good value. We booked ahead of time and got a deal on a room that was much bigger than the normal shoe box you get in major cities. The decor is very cool and up to the minute. Big bathroom with delicious products. Great food from room service. Impeccable service from the staff. The big selling point in the summer is the stunning roof terrace bar which is very comfortable, intimate and has amazing views of the manhattan skyline. The hotel is in a fantatstic location a couple of blocks from broadway in the heart of the lively SoHo district.
Jul 11 2006	Great Location Disappointed with Service	My wife and I booked a room at 60 Thompson to celebrate our one year anniversary. I must first say that we were looking for a place in the heart of the village, and it will be tough to beat the location and atmosphere of 60 Thompson. My main grievance comes with the staff. We had booked a King Deluxe smoking room for the night. We checked in, (they did mention Happy Anniversary) and were shown to our room. The hardwood floors and bathroom were great. We right away noticed it was not a smoking room so I called the front desk to confirm. They relayed to us that in fact it was not a smoking room, but they would send someone up right away with keys to our new room. When we entered the new room, I was shocked. No hard wood floors, tiny bathroom, tiny room. I asked if it was in fact a King Deluxe room and they said they had none of those available in smoking. I was a little disappointed, what happened to the room I had booked, did they give it away? I was told we were moved to a lower level room due to availability. I then mentioned that there must be a rate differance since it was a lower level room, and I was given no cooperation on this and my request for an explanation was denied as they danced around the reason. I had in my hand proof of a guarenteed King Deluxe Smoking room. I ended up paying that rate for a Queen Superior room. Most days I would have let it slide, but on my anniversary, I was dissapointed.As stated before, the location is wonderful and right smack in the middle of the village, close to everything. I have stayed in many hotels in NYC and this was very disappointing in terms of service. Next time I will stay in the Mercer or SoHo Grand. I have stayed in both before, and regret trying out 60 Thompson on such a special night. You may enjoy the roof top bar, it was nice for a drink or tow, bu the heartbeat of the village is down on the street, not in the &quot;members and gusest only&quot; rooftop bar. You may find you check in on a day where the staff is on top of their game, but at those prices, they should be on top of their game everytime, every guest, especially those celebrating special occasions. You will be guarenteed service each and every time at the other two village hotels mentioned above.
Jul 10 2006	Fantastic location restaurant.	Very luxurious, primely located hotel plum in the middle of Soho - great restaurants abound (including the one on site!) and even better shopping! Very pricey, but worth it for a splurge on a night or two - cramped rooms as is typical of that area - but modernly decorated and the service is fantastic - I pinched a nerve in my back an hour before I was due to leave the hotel and the city and the concierge made a plan faster than lightning, booked me into a nearby spa for emergency massage and called a taxi for me. Really was impressed - and if it wasnt for her, I'd have had a nightmarish 20 hour flight home! Very cool place, day of arrival Vogue was executing a fashion shoot in the foyer - you know you're in new york :)
Jul 9 2006	Diamond in Soho	60 Thompson is a great hotel. The rooms, while small (most hotel rooms in NYC are small anyway), are well appointed and comfortable. Each room has a nice flat panel television, a comfotable bed, and an excellent bathroom. My only complaint is that rooms are given out based upon when you checked in (unless you reserve a suite); therefore, you could feasibly get stuck in a smoking room...but it is not that bad.One of the best features of this hotel is its bars. The rooftop bar is absolutely fabulous!! Unbelievable views and great drinks. As they say...it is &quot;the place to see and be seen.&quot; Try their mixed berry Mohito.Another benefit of this hotel is that it is centrally located in Soho. Bars and restaurants are at your fingertips.The staff is very friendly. They helped me out with a variety of issues.I would definately stay at this hotel again. I had a wonderful stay.
Jul 4 2006	...thumbs up across the board.	We live in NJ and stay in the city from time-to-time to get some time away from the kids. We usually stay at a different place each time, Soho Grand, Righa Royale. This was the first time at 60 Thompson. We paid $299/nt for a King Deluxe (room #83)... Room was of a decent size (for NYC &quot;boutique) with enough room for a sofa with coffee table, lounge chair and work desk... Great bathroom (though no bath tub). Good size and very clean. Overall, everything was super clean and well kept...Staff was great. Professional, courteous, yet approachable and &quot;real&quot;. Not pulling a muscle to push that 'elite' vibe...Location is perfect. In the middle of SOHO on a quiet block...Both the restaurant (Kittichai) and 2nd floor bar were top notch. Restaurant was actually very reasonably priced, can't say the same for the bar, but both delivered great experiences...Overall, we will stay there each time we go to the city. I was just very comfortable with every aspect of the stay. Unlike lots of boutique hotels nowadays that deliver an inconsistent experience, 60 Thompson pulled it off...
Jun 14 2006	cool hotel great service	Stayed for a long weekend in a deluxe king size room and thoroughly enjoyed everything about it. We arrived early and found we could check in without delay. Our room was of a good size for New York and the only small criticism was a couple of cigarette burns on the carpet. However, everything else was of a high standard with a smart bathroom and the bed was extremely comfortable.We had reserved a table in the hotel restaurant for our first night and this was confirmed to us on check in. The meal itself was excellent as was the service. In fact we found the service to be second to none throughout our stay from all of the staff and could not fault this at all. At night we came back to the room to find the bed turned down and a plate of miniature pastries and brownies, together with bottled water and ice, left for us.The two bars in the hotel, the Thom Bar and Rooftop, were both great and we spent most time in the Thom Bar which was always busy with a cool vibe. My wife also took a particular liking to the Lychee martinis which are something of a speciality here.All in all we had a great stay and would definitely return.
May 30 2006	Super Cool 60 Thompson	My fiance and I stayed 2 nights in the 60 Thompson in the last week in May 2006 and it is definitely the place to be.We stayed in a deluxe double which was comfortable and clean with a massive flat screen TV, fully stocked mini bar and some lovely toiletries in the bathroom.The hotel has a guests only, roof top bar which has some fantastic views over the Manhattan skyline. You can clearly see the Empire State building and watching the sunset from here is truly idyllic. The hotel is slap bang in the middle of Soho which is teeming with trendy bars, resturants and boutique shops. It is also within walking distance of the Spring Street subway and Broadway and the shopping is great so have your credit card handy!This hotel, however, will always have a special place in my heart as my boyfriend chose the hotel's roof top bar to propose to me. The hotel staff, who were in on the secret, were great. They brought champagne and generally treated us like royalty. We finished our evening in a small resturant across the street from the hotel called the Country Cafe. The lady who ran the place was lovely and when she heard our news, she promptly brought more champagne!The concierge service downstairs was invaluable as after a hard days shopping, you can forget wading through the guide book for a nice place to eat. They can recommend some great local places and fill you in what's happening locally. They also helped us out with transport back to the airport.The hotel also has its own resturant but we did not eat here. It also has a bar called Thom which is open to the public and is supposed to be very highly rated (we didn't actually go as we spent our evenings on the roof top.)No breakfast included in the price but there are delis a plenty in the local area and a great pizza place, Ben's Pizza, at the top of the street.A great place to stay.
Mar 28 2006	Fantastic hotel great location!	My husband and I just returned from a long weekend in New York and a fantastic stay at 60 Thompson, I can't rate it highly enough! The staff were great and very helpful, and our room was fantastic, and ready for us when we arrived on Thursday morning. We had dinner at Kittichai on our first night (try the chocolate ribs!) which was delicious. We had never been to NY before and the location of the hotel was so perfect, close to all the great shops and some fantastic restaurants. We can't wait to go back to 60 Thompson and are hoping to make it an annual event, we really wouldn't consider staying anywhere else!
Feb 22 2006	Funky cool if you have a few bucks to spend	I have to admit that I was a little turned off by the fact that we had to wait for our room to be ready (at 6pm at night), and being told that we were being given a free upgrade which turned out to be false. Add to that we had a room that smelled like smoke all night long (it was a non-smoking room but must have been beside a smoking room), and I probably wouldn't go back to this hotel for it's price (nearly $400 Canadian with taxes).All the bad out of the way now, I have to say this hotel has got it all if you don't mind the price. The rooms are incredible. We love the flat screen tv, comfy bed, and stylish bathroom. The lounge is so hot and trendy we felt like celebs having some pre-dinner appetizers and drinks. The food, by the way, is out of this world there too!! Breakfast in the restaurant was top notch. Can't complain about atmosphere, location (soho!), nor the food.
Jan 3 2006	great location but.....	Excellent concierge team.Rooms a little shabier this time round. A non- matching and badly marked chest of drawers seemed at odds with the design focus to which the welcome pack alluded. Maintaining the design focus is a challenge which needs continuing investment and it is not clear whether this is recognised.Returning to the room at 2pm and after 4pm to find the room unmade was disappointing. Reception seemed surprised I found this substandard. The only staff visit to the room was to check the minibar which seemed a misplaced service priority. Having a room prepared before dark does not seem an excessive requirement particularly when vacant since early morning.The fact that I have not received a reply to my note to the manager makes me question whether feedback is valued or whether it is perceived to be important to say that it is.At just under 500USD per night it could have been better. The reviewer who paid 200USD got the bargain.
Jan 2 2006	Overall Great Stay	Stayed 4 nights in mid December in what seemed to be pre-holiday peak season. Deluxe King ran 440-440 per night. WHAT I LIKED: Friendly seemingly genuine service. There is a hip attitude pervading the place, as evidenced with the photo shoot occurring in the bar upon our arrival, but we were almost always greeted with warm smiles and very friendly service. The one exception that comes to mind was the concierge desk; they seemed disorganized and hassled, and offered curt responses to requests. Just avoid them.I like smaller sized properties, and this was just perfect in that regard. I also liked the residential feel to the place; it was like staying at a hip friends pied a terre. Room was thoughtfully designed and reasonably sized. Good-sized well-designed marble bathroom with solid water pressure and temperature regulation. Bed was very comfortable, but wouldn't call it memorable. Sheets may be Frette, but really just standard hotel line with a few noticable repairs. Towels were pretty standard and not Frette. Twice a day service kept towels replenished and room in order, but they were slightly skimped on Fresh sugar toiletries.Didn't eat at the property...too many good options nearby. Of note is that Aquagrill is VERY near. And so are Kee's Chocolates!Fantastic location for shopping and exploring. SOHO is in many ways one big mall, which sounds kind of sad, but it's not that bad.WHAT I DIDN'T LIKE:Room was more skuffed up than I would have liked. Although room 88 was relatively quiet, imperfect seal of windows let it a bit of noise. Spot on chair and marks on furniture were too noticeable. Although visually appealing, some furnishing were of so-so quality, but certainly not as bad as W chain.Location not great for finding available taxis easily. Consider car service. Several Spring St subway stations are nearby, as is Dean and Deluca, which is great.All in all, I would stay here again at a better rate. Perhaps need to try Mercer for comparison.
Dec 23 2005	Best in Soho 1/3 the price of Mercer!	I was skeptical, but the staff, service and GREAT beds won me over. I paid $189 on a holiday special, and got upgraded on check-in to a Deluxe King. First of all, let me say that I am young and supposedly hip, that is to say I am Jason Pomeranc (that's Pomerantz)'s key demographic. That settled, Mr. Pomeranc's people know what they are doing. My stay at 60 Thompson kicked off what turned out to be the better part of a long weekend in New York during the transit strike. I stayed at two other hotels, my usual Westin Essex House and the Sheraton New York for the last (emergency) night. I had just spent a week in Canada, so I was a bit weary of hotel-hopping. From the moment I arrived at 60 Thom, I was treated like family. Check in was a breeze, and considering I had a ton of luggage from my week's travels to bring in, the bellman was as cool as could be. I only detected an air of snobbery on one of the bellmen who, thankfully, was pretending to be uninterested in another set of guests. I have a sinking feeling that during a certain time of year, they hire a number of people who can't help having a certain attitude that tends to put off some guests. Moving on...My room, #93 on the ninth floor, faced east toward Soho as all the Deluxe Kings do. The dark hardwood floors and stark furniture give the room a loft feel, especially when you open the windows and let the wind blow the curtains. My first gripe was practical: there isn't enough darn closet space! My closet must have been on a structural column or something because there wasn't one but two areas where it was about 4&quot; deep - barely enough room for a hanging suitcase and clothes and two hotel bathrobes. The king bed was great, just a massive white cloud ready for the magic to happen on its extremely comfortable mattress. The slick 42&quot; plasma screen TV came equipped with a DVD player and separate aiwa CD stereo, and they even gave me a cable to connect my laptop to the TV speakers, so I could play whatever music I wanted. This is something they wouldn't do at any of the other hotels I stayed at this trip. As for the rest...well...the &quot;couch&quot; made a nice luggage bench, and the big leather chair had no desk so it became a clothes hangar. Ah well, the bed made up for either. The bathroom, with its black-marble walls looked nice, but was just a basic shower...although the shampoo by 'fresh' was very good. All in all, the room was beautiful, but I would have added a sexy Aeron chair and a good working desk. I could definitely live full-time in one of these rooms. One evening, when I wanted to dine in my room but not pay room service over-prices, the front desk gladly gave me a laminated menu book of all local restaurants that deliver. In the case that a restaurant didn't deliver, I was gladly told that they would send someone to pick anything up in the neighborhood. Now, that I haven't seen in a hotel before. This place surprised me. The public areas are well designed and well-kept (although I didn not try the bar and restaurant), the rooms are classic SoHo, and the service is r e a l...all these factors make 60 Thompson an ideal bet, especially if you can get a rate under $200. If they charge you over $300-400, I'd really consider splurging ont the Mercer.
Dec 19 2005	It might be marvellous but there's something in the detail	Lovely quiet and well designed rooms (though the usual lack of attention to details - scuff marks on the walls, stains on carpets and furnishings - so hey everyone, there's a business here for hotel detailing because so few places do it!), excellent service and a great location. But for the price, you would expect that rooms would be pristine.
Dec 16 2005	So-So in SOHO	In a city where you can $100 a night for a bunk bed, value for money is always pot luck in New York. Yet we still had high hopes when we decided to splash out on a $500 room at 60 Thompson for our weekend away. Entering the lobby we were greeted by a mysterious smell that seemed to be a mixture of body odour and alcohol that may have wafted in from the hotel bar. At check-in, the staff were extremely friendly, courteous and welcoming as we were informed that due to a number of late check-outs that our room wasn't ready, but a complimentary drink kept us happy during the half hour wait.Our room was a superior queen located on the 3rd floor, which although very clean and well-maintained, was very cosy. It was also not that well insulated as we later found out when the DJ started in the bar directly below us. The heating/cooling problem often mentioned in other reviews was also apparent with a delicate balance being struck with a partially opened window to avoid dehydration.We both sampled from the room service menu throughout the stay and while the food from the in-house restaurant was very nice, we were shocked to find that after adding an 18% gratuity and a $3 delivery charge the bill still had space left for our own tip, something I have never experienced in any other hotel I have visited. After spending $500 per night, we were also surprised that breakfast was an extra and the novelty of a Dean &amp; Deluca stocked minibar certainly wears off when you could walk two blocks to the actual store and pay half the price.60 Thompson is a sleek hotel, in a great SOHO location with very friendly staff, however when it comes to value for money it left a lot to be desired.
Dec 16 2005	One night's stay	Stayed one cold night in December. Room was nice and well decorated with a fancy shower but no tub. Lobby and bar were really nice, the room came close but was relatively small and unfortunately was supposed to be non-smoking but from the burns on the floor and the smell on the phone was obviously for smoking. A bit noisy too, caused by an adjacent occupant. Overall, pretty good.
Dec 14 2005	Cool Thompson	Just returned from a 4 night stay, arrived to find a full on Vogue photo-shoot taking place - it's that sort of place!! Our room on the 12th floor was well proportioned and was quiet, our only criticism was that we only had a shower, unfortunately no bath.Whilst the Thompson has a cool vibe it is not a cold unwelcoming place, the staff are friendly and the service was particularly good in the Thom Bar. We had previuosly stayed in large uptown hotels, this is the complete opposite - we loved exploring SOHO and surrounding areas. PS A few doors up from the hotel is the Thompson Cafe(not related to hotel), it is small, quaint and great for a latte, breakfast or a light lunch.
Nov 25 2005	Outstanding!!	My wife and i recently stayed at the property(albeit one night). It was recommended by a friend and we were glad we did. From the time of our EARLY check-in on a Saturday during a busy weekend in late November to the time of checkout, everything was wonderful. I found the staff to be over-the-top nice, and considering my MANY trips to the city, I found it most unusual. I dont think we ever touched a bag or opened a door the ENTIRE time. They also proceeded to send us up a comp. chilled bottle of FINE sake. And about an hour later a chilled comp. bottle of Vos water, and about the time we were talking about that, there came ANOTHER knock at the door with some amazing sweets and a menu of their restaurant (definately a must try). So anyone related to 60 Thompson reading this....GREAT JOB!......we WILL return.P.S Thanks Martin
Nov 24 2005	Average	Lots of positives - bathrooms are fantastic, staff were very, very helpful, bar was great, free wireless and a great location. But we had problems with the aircon as it has been switched off for the Fall and Winter but we were staying in early November during a very warm spell. For one night, it was too hot to sleep and we were considering checking out. It was only after we (and others) complained enough times that the aircon was switched back on. The room was also very small and painted beige, so it didn't look a lot different to a cheap motel room. The walls were also very thin. Another disappointment was the roof top bar which is closed for the Fall and the Winter, even though the weather was very warm.
Nov 3 2005	a gem!...	Just had a quick trip to NYC, busy with appointments, rendezvous and shopping....found 60 Thompson to be a wonderful oasis. It has a calm and quiet feel in a bustling neighbourhood, with great restaurants and shops in abundance just steps away...love the area!The staff, fom beginning to end were friendly, helpful and ever-smiling.....didn't see a bit of the &quot;too cool&quot; commented on in another review.We were more than pleasantly surpised by an upgrade to a luxurious suite, with a terrace with breathtaking views....I can't comment on other rooms/sizes etc..... but must say that this was beautifully appointed,spare but comfortable. I would assume that all bathrooms have the same lovely products, good and plentiful towels, thick robes....bed linens by Frette. There were gorgeous fresh flowers throughout the suite....and I saw a cart in the hallway,filled with vases of fresh orchids, making deliveries to other rooms.Room service was prompt on one occasion and rather slow on another, but staff were extremely apologetic....busy breakfast hour. The appetizers available from their restaurant were delicious,unusual and arrived piping hot and nicely presented....breakfast was more on the ordinary side, but fresh and again nicely presented.I'd happily stay here again!
Oct 18 2005	Very pleasant!	We just returned from a 5 day stay at 60 Thompson and we loved it ! Our deluxe king room was quite spacious, nicely furnished and had an incredibly comfortable bed. Staff was extremely friendly, helpful and efficient. We had dinner twice in our room and once at Kittichai and the dishes were always delicious. All in all, everything was perfect. But when I pay 480 $/night, this is also what I expect. 60 Thompson is a really great place to stay downtown (better than the Mercer where we stayed last year).
Aug 24 2005	A Great Experience	We just returned from a 5 day break at 60 Thompson. Last year we stayed at the Hudson where I can testify that the rooms are really, really small. You coudn't swing a cat in them let alone store your luggage! You get what you pay for I know but the rooms at 60 Thompson were great (We paid $290 dollars a night). Rooms were large, spacious with a great bathroom - all in all a pleasure to stay in. The location of the hotel couldn't be better for being in the heart of it and wandering around trying all the local bars, restaurants and shopping without having to rely on cabs or the subway. I also thought the decor was in line with what you would expect of a luxury 4* plus hotel. It was very tastefully furnished in a dark wood/oriental style with great design touches such as the 60's Ericofons everywhere and gorgeous floral displays. We had plenty of Mojitos in Thom's Bar and up on the roof terrace as the weather was HOT. We also dined at Kittichai more than once - the monkfish curry was amazing! All in all the service was great and friendly enough for us. The only downside I thought was that because the general public visit the bars as much as the residents, on 2 or 3 nights of our stay the roof terrace and/or Thom's Bar were closed for Private Parties leaving hotel guests to sit and drink in the foyer. They may have opened up later but we didn't wait around to find out. All in all though, a great place in the heart of Soho and I would recommend a short break here.
Aug 23 2005	Cool Calm and Collected	If you want to stay downtown but apart from Wall Street, you do not have many choices. 60 Thompson is one of the best. Located in the heart of Soho, but on a fairly quiet street, this hotel gives you a certain &quot;zen&quot; hotel experience. The rooms are designed with panache, and the bar and restaurant have become local scenes. The service, while somewhat aloof, is very professional and competent. 60 Thompson is an excellent downtown hotel experience especially if you want to hang with the Euro hip.
Aug 2 2005	Had a GREAT stay. Not perfect but great.	My wife and I had an excellent 3 day stay at 60 Thompson. We paid a rate of $279/night via Quickbook, and got every penny's worth.The front desk staff was bright and friendly...the concierge cheerful and well informed...and the bell staff prompt and efficient.The first 2 days were practically flawless.Our room was just as hip and stylish as you'd expect in a hotel of this flavor...and was roomy by NY standards (just about the size of a 'regular' room in most areas of the country). The bed and linens were outstanding! The bathroom was spacious, clean, and well appointed.We made a quick trip up to the rooftop bar, which was very vibey with a nice view. We didn't eat at the hotel's Thai restaurant, but it was packed nightly with quite a posh crowd.Arguably, the Thompson's best attribute is it's location! We love Soho, and the Thompson is steps away from anything and everything of interest in the area (Noho/Nolita/Greenwich Village/Canal St/Little Italy/Chinatown), yet feels slightly removed from all the hustle and bustle.There was really only one negative in our 60 Thompson experience. On our last morning there, we woke up to an inordinate amount of banging and clanging by the housekeeping staff. This was at about 8:30am. We were annoyed, but it didn't significantly taint our overall experience.60 Thompson has definitely become our Soho headquarters, and we're looking forward to our next stay!
Jul 28 2005 	Great boutique hotel	Recently stayed at 60 Thompson for business and pleasure. It is well located in Soho and my room was more than adequate. Dinner at the hotel's restaurant was delicious and provided great people watching. I found the staff throughout the hotel to be quite friendly and helpful. The only reason I did not rate this as an &quot;Excellent&quot; hotel is that it has no business center at all. Also, my room did not have a tub. Between the Soho Grand and 60 Thompson, I would choose whichever hotel gives you a better price; they are both great hotels.
Jun 29 2005	A complete disappointment	Our 3 day stay was to celebrate our first wedding anniversary and to round off a 2 week stay in the USA. Feel utterly ripped off and totally regret choosing the hotel. The only positive thing we felt about it was the location, which was fantastic.Issue 1:Took ages to check in, a very luke warm welcome. We'd been so excited about staying there and this reception dampened our spirits somewhat.Issue 2: We decided to splash out and stay in one of the so-called larger rooms at $500 per night, which was one of the smallest rooms I've ever stayed in. We had to store our suitcases elsewhere as they wouldn't fit in the room. That was after the wrong cases were delivered to our room...Issue 3: Very hot room, which was confusing as the hotel had air-conditioning. We had to phone down and ask someone why it was so hot. &quot;oh yeah, that's because the air com system has blown out, it might be fixed later..&quot; Interesting that no-one had told us this when we checked in. The air con started working about 6 hours later.Issue 4: This is a big one, and one which we pointed out to the staff. On our second day we waited about 5 minutes for the elevator to take us from the 9th floor to street level. Giving up on waiting we decided to walk down the fire escape, which wasn't a big problem until we hit the 2nd floor and could go no further as there was a pile of furniture blocking our path. Undeterred we walked back up a floor and found another fire escape on the other side of the building. Alas, on the 2nd floor this was stacked up with crates. Which we had to lift up and move to get out. Really glad there wasn't a fire or we would have all been in trouble. The hotel were acting illegally by blocking these fire escapes and I was disgusted by their lack of consideration for guests. Issue 5:Just a general note on the tedious staff and their 'too cool for school' attitude, got very boring after a while and made our stay uncomfortable We had a fantastic time in NY, but felt absolutely ripped off, we paid $500 per night and had a thoroughly annoying experience. It's not even that exciting as a 'style hotel', and we're stayed at enough of these in our time to have a pretty good benchmark.
Jun 28 2005	Impressed	Great little hotel on a quiet street in Soho. Gorgeous room, got upgraded to a King. Bathroom sumptuous and slick. Great view, both in the room and via the skyline cam on the flatscreen TV. Staff, with the exception of just one chilly front desk clerk, was friendly and helpful. Rooftop bar was gorgeous and fun. Only one negative: very loud toilets. Irritating, day and especially night. I would stay there again, and plan to in the coming weeks.
Jun 15 2005	What a hotel	I read some reviews posted about this hotel before we left but after we had booked that almost made me want to cancel. Iï¿½M SO GLAD I DIDNï¿½T! This hotel is a hive of activity and the roof top bar / sun lounge is something to behold, but the guest rooms are only accessible via your room card so they stay safe and quiet. Location is great for soho and taxis are easy to come by to go ï¿½uptownï¿½. Coming from London and with the strong exchange rate the prices are acceptable and the staff are not rude (as I had read elsewhere) rather helpful and knowledgeable. In all a really great location if you donï¿½t want the hustle and bustle of staying on 5th and keeps the great atmosphere of soho.
Jun 13 2005	Nice but expensive	Just got back from a weekend at 60 Thompson. I was quite satisfied with the hotel, but I would not call it a great value. The entrance and lobby are lovely, but the rooms are very small. The sofa and chair look a little comical in such a small space. The location was great. Restaurant Barolo on the same block was fabulous!The concierge was very helpful. If $$ is no concern, I would recommend this.
May 25 2005	way overrated	My family stayed at 60 Thompson after hearing from everyone it was a great hotel and the best place to stay downtown, very chic and cool. Wow, we were sooo underwhelmed. Our rooms were tiny, with no amenities to speak of. The view of a brick wall was less than stunning, and the comfort level all in all, average at best. I had stayed at the Gaansevort a year ago and would recommend it over 60 Thompson. One day my daughter and I were asked to leave the lobby at 6pm because there was a private party. We couldn't go in the lobby! The staff was nice, that is the only thing about the hotel that was good. I guess if I was Russell Crowe, I could get a great room.  I can't tell you enough how uncool this cool hotel is.
May 17 2005	a sanctuary in the city	From the moment you pull up to the entrance of 60 thompson you know you will not be disappointed. Upon entering the hotel we were greeted by a very friendly and professional doorman.The entrance can be a little confusing because there are 2 lobbies. The ground floor had these lovely fragrant votive candles. The young lady who greeted us here was also very polite and directed us to the &quot;check-in&quot; lobby located one floor up. The room itself was heavenly. If you are used to NY standards with regards to space then you will not be disappointed. If you are someone who loves large rooms, then you may want to find another hotel. We found the room sufficient. It was a King superior room, which we got for $175/night - a total steal! The only down side was that the roof top lounge was not open because the weather was not warm enough and there were some renovations taking place. None of which bothered us at all.Also the bathroom was spectacular - even took digital pictures of it so I could redo my own personal restroom at home.The lounge down stairs was also very nice. It was very mellow, more of either a pre or post party place to have a drink.For a place that was so trendy it had no attitude problem, like most of the other NY hotels. (The front desk staff brought me a new toothbrush when i told them i forgot mine.) They were also helpful in recommending a nice massage parlour and made the booking themselves.Besides all that, the hotel is located in the best part of the city. I have lived in Manhattan and if I could ever afford it, I would live in Soho! It is close to lots of restaurants and boutiques. And it's just a beautiful area to walk around. If you have never been to NY then this place will give you the best opinion of the city.You can't go wrong with this place - seriously.
May 3 2005	Excellent location great Hotel	After an initial mix up on arrival, they only had us booked for one night and seemed fairly adamant on having us stay for 1 night, despite our email confirmation for 3 nights (from Jan 2005), we were then given the wrong room (2 beds, slightly smaller than doubles), the assistant manager, arranged our booked room, a King Deluxe for the following 2 nights, deducted $100 off our bill and sent up a bottle of champagne to our room, a nice touch, although we would have rather had it right from the start, the bar is a really cool place to be, and the restaurant looks nice, although we didn't eat there. the location is fantastic, a great place to be for shopping, site seeing, drinking and eating. 10/10 in our opinion.
